TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD
20170226120353,1009,5,84,32,12.67,23,26
20170226120354,1009,9,84,33,12.67,23,14
20170226120355,1205,11,84,33,4.76,17,10
20170226120356,1084,11,84,32,4.2700000000000005,17,10
20170226120357,861,9,84,32,4.2700000000000005,17,12
20170226120358,861,7,84,32,4.2,17,12
20170226120359,888,7,84,32,4.2,17,12
20170226120400,852,7,84,32,4.2,17,12
20170226120401,852,7,84,32,6.86,21,26
20170226120402,1017,7,84,33,11.41,22,26
20170226120403,1302,9,84,34,11.41,22,25
20170226120404,1302,11,84,34,11.13,21,13
20170226120405,1357,11,84,34,7.0,19,13
20170226120406,1359,12,84,33,7.0,19,15
20170226120407,1359,12,84,33,7.98,20,15
20170226120408,1380,12,84,33,7.42,20,15
20170226120409,1419,12,84,33,7.42,20,13
20170226120410,1419,12,84,33,6.3,18,9
20170226120411,1300,12,84,33,5.8100000000000005,19,9
20170226120412,1300,12,84,33,5.8100000000000005,19,12
20170226120413,1225,12,84,33,6.65,19,15
20170226120414,1277,11,84,33,7.7700000000000005,19,15
20170226120415,1277,12,84,33,7.7700000000000005,20,15
20170226120416,1369,12,84,34,7.7700000000000005,20,15
20170226120417,1441,12,84,34,8.19,20,14
20170226120419,1441,12,84,34,8.19,20,13
20170226120420,1492,12,84,34,7.63,20,13
20170226120421,1508,13,84,34,7.63,20,13
20170226120422,1508,13,84,34,7.63,20,13
20170226120423,1511,13,84,34,7.7700000000000005,20,13
20170226120424,1535,14,84,34,7.63,20,12
20170226120425,1535,14,84,34,7.63,20,13
20170226120426,1517,14,84,34,5.11,17,17
20170226120427,1432,12,84,34,15.540000000000001,24,17
20170226120428,1685,12,84,34,15.540000000000001,24,27
20170226120429,1685,14,84,34,16.73,24,22
20170226120430,1863,14,84,34,11.97,21,22
20170226120431,1895,16,84,34,11.97,21,15
20170226120432,1895,17,84,34,11.76,21,15
20170226120433,1924,17,84,33,11.620000000000001,22,15
20170226120434,2021,17,84,33,11.620000000000001,22,15
20170226120435,2021,19,84,33,17.78,25,29
20170226120436,2335,19,84,33,8.75,17,29
20170226120437,2150,21,84,33,8.75,17,7
20170226120438,2150,18,84,33,6.79,19,11
20170226120439,1993,18,84,33,9.17,20,11
20170226120440,1965,18,84,33,9.17,20,11
20170226120441,1965,18,84,33,9.31,20,12
20170226120442,1945,17,84,33,9.52,20,12
20170226120444,1950,17,84,33,9.52,20,12
20170226120445,1950,17,84,33,9.870000000000001,21,13
20170226120446,1986,17,84,33,11.13,21,13
20170226120447,2028,18,84,33,11.13,21,13
20170226120448,2028,18,84,33,10.92,21,8
20170226120449,1947,18,84,33,6.3,17,8
20170226120450,1947,17,84,33,6.3,17,8
20170226120451,1697,17,84,33,6.51,17,10
20170226120452,1445,16,84,33,6.16,17,10
20170226120453,1445,12,84,33,6.16,17,11
20170226120454,1309,12,84,33,6.37,18,11
20170226120455,1183,11,84,33,5.74,18,13
20170226120456,1183,10,84,33,5.74,18,13
20170226120457,986,10,84,33,5.04,17,13
20170226120458,930,9,84,33,5.04,17,12
20170226120459,930,8,84,33,4.34,17,13
20170226120500,887,8,84,33,4.41,17,13
20170226120501,872,6,84,33,4.2700000000000005,17,12
20170226120502,872,6,84,33,4.2700000000000005,17,12
20170226120503,836,6,85,33,4.2700000000000005,17,12
20170226120504,903,4,85,34,4.2700000000000005,17,12
